judgement_id,model_id,dilemma_id,dilemma_title,temperature,repetition_number,choice_id,confidence,reasoning_length,response_time_ms
f148e6bd-363d-4e66-84f2-2573ef715acb,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.0,800,5881
e81339bb-6a79-4033-ad87-ecfdb4c50751,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.0,881,6178
79dbb043-be7f-428b-b91c-9f48b2d9223f,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.0,753,5612
8f1c56b7-6ce2-43de-b99e-7272eb2bccfc,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.0,802,6373
9afb30f5-6f99-4c7a-bed9-53a49f333366,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.5,728,4886
08b5c7bc-ed99-413a-abf7-c20e6ba77e62,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.5,882,6286
16a518f2-7986-4d08-8118-f88af3261ed6,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.5,825,6069
b777ce54-659a-444e-91b4-23443118c696,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.5,751,5421
e8722ad1-2b81-4ef1-9c24-5b1eaf813e9b,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.0,745,5198
e8ed9a35-9742-497f-8cb5-fd6e326ae692,anthropic/claude-sonnet-4.5,d0160bc9-28cd-4f1d-85e4-2634cd037389,Energy Ethics: The Biodiversity Tradeoff,0.3,,deny,9.5,1088,7274
